vid	yid	start	end	raw-text	tokenized-text	gloss	split
9NfTDjWq7vA-00:00:00.000-00:00:08.040	9NfTDjWq7vA	00:00:00.000	00:00:08.040	This happened on Dec. 30th in Bay City, Michigan.	this happened on dec 30th in bay city michigan		train
9NfTDjWq7vA-00:00:08.060-00:00:16.700	9NfTDjWq7vA	00:00:08.060	00:00:16.700	A man named William Cornelius, 25 years old,	a man named william cornelius 25 years old		train
9NfTDjWq7vA-00:00:17.360-00:00:25.480	9NfTDjWq7vA	00:00:17.360	00:00:25.480	had a girlfriend named Sheri Moore, age 20.	had a girlfriend named sheri moore age 20		train
9NfTDjWq7vA-00:00:25.580-00:00:32.560	9NfTDjWq7vA	00:00:25.580	00:00:32.560	They went to Walmart to buy an engagement ring.	they went to walmart to buy an engagement ring		train
9NfTDjWq7vA-00:00:32.740-00:00:37.740	9NfTDjWq7vA	00:00:32.740	00:00:37.740	The ring was cheap costing less than $30.	the ring was cheap costing less than 30		train
9NfTDjWq7vA-00:00:38.080-00:00:46.040	9NfTDjWq7vA	00:00:38.080	00:00:46.040	"The store announced over the PA, ""will you marry me?"""	the store announced over the pa will you marry me		train
9NfTDjWq7vA-00:00:46.420-00:00:51.080	9NfTDjWq7vA	00:00:46.420	00:00:51.080	He got down on his knees to propose and she said yes.	he got down on his knees to propose and she said yes		train
9NfTDjWq7vA-00:00:51.800-00:00:57.240	9NfTDjWq7vA	00:00:51.800	00:00:57.240	People who were shopping saw and celebrated with them.	people who were shopping saw and celebrated with them		train
9NfTDjWq7vA-00:00:57.800-00:01:00.320	9NfTDjWq7vA	00:00:57.800	00:01:00.320	Then they went through the store	then they went through the store		train
9NfTDjWq7vA-00:01:00.460-00:01:04.620	9NfTDjWq7vA	00:01:00.460	00:01:04.620	and stole some earrings, and a necklace.	and stole some earrings and a necklace		valid
9NfTDjWq7vA-00:01:04.700-00:01:09.320	9NfTDjWq7vA	00:01:04.700	00:01:09.320	They put the jewelry in their pockets and left the store.	they put the jewelry in their pockets and left the store		train
9NfTDjWq7vA-00:01:09.480-00:01:15.040	9NfTDjWq7vA	00:01:09.480	00:01:15.040	Later, a review of surveillance showed more --	later a review of surveillance showed more 		train
9NfTDjWq7vA-00:01:15.360-00:01:25.180	9NfTDjWq7vA	00:01:15.360	00:01:25.180	They went to another store nearby named Spencer's Gifts.	they went to another store nearby named spencers gifts		test
9NfTDjWq7vA-00:01:25.280-00:01:34.820	9NfTDjWq7vA	00:01:25.280	00:01:34.820	The man shoplifted again for a total of $80 in merchandise.	the man shoplifted again for a total of 80 in merchandise		train
9NfTDjWq7vA-00:01:35.140-00:01:41.480	9NfTDjWq7vA	00:01:35.140	00:01:41.480	He walked out and store security tried to stop him.	he walked out and store security tried to stop him		train
9NfTDjWq7vA-00:01:42.020-00:01:43.800	9NfTDjWq7vA	00:01:42.020	00:01:43.800	The police arrived.	the police arrived		train
9NfTDjWq7vA-00:01:44.160-00:01:50.100	9NfTDjWq7vA	00:01:44.160	00:01:50.100	He was in the food court.	he was in the food court		train
9NfTDjWq7vA-00:01:50.120-00:01:56.460	9NfTDjWq7vA	00:01:50.120	00:01:56.460	He bent down to tie his shoes and fell asleep.	he bent down to tie his shoes and fell asleep		train
9NfTDjWq7vA-00:01:57.120-00:02:00.800	9NfTDjWq7vA	00:01:57.120	00:02:00.800	He told the police it wasn't his fault	he told the police it wasnt his fault		train
9NfTDjWq7vA-00:02:01.260-00:02:03.960	9NfTDjWq7vA	00:02:01.260	00:02:03.960	because he was in the hospital	because he was in the hospital		train
9NfTDjWq7vA-00:02:04.020-00:02:10.340	9NfTDjWq7vA	00:02:04.020	00:02:10.340	and he was on medication, Tramadol.	and he was on medication tramadol		train
9NfTDjWq7vA-00:02:11.980-00:02:15.020	9NfTDjWq7vA	00:02:11.980	00:02:15.020	The two went to court for shoplifting.	the two went to court for shoplifting		train
9NfTDjWq7vA-00:02:15.160-00:02:18.160	9NfTDjWq7vA	00:02:15.160	00:02:18.160	I wonder if they are still married?	i wonder if they are still married		train
TsIKJ9_HM-00:00:04.000-00:00:08.000	TsIKJ9_HM	00:00:04.000	00:00:08.000	2015 Special Session Update	2015 special session update		train
TsIKJ9_HM-00:00:08.000-00:00:11.000	TsIKJ9_HM	00:00:08.000	00:00:11.000	and Legislative Session Wrap Up	and legislative session wrap up		test
TsIKJ9_HM-00:00:12.000-00:00:17.000	TsIKJ9_HM	00:00:12.000	00:00:17.000	Last week the legislature held a one-day special session.	last week the legislature held a oneday special session		train
TsIKJ9_HM-00:00:17.000-00:00:21.000	TsIKJ9_HM	00:00:17.000	00:00:21.000	It is hard to have an impact during a special session,	it is hard to have an impact during a special session		train
TsIKJ9_HM-00:00:21.000-00:00:24.000	TsIKJ9_HM	00:00:21.000	00:00:24.000	because all of the decisions are made	because all of the decisions are made		train
TsIKJ9_HM-00:00:24.000-00:00:27.000	TsIKJ9_HM	00:00:24.000	00:00:27.000	in private negotiations by the Governor	in private negotiations by the governor		train
TsIKJ9_HM-00:00:27.000-00:00:30.000	TsIKJ9_HM	00:00:27.000	00:00:30.000	and the very top legislative leaders	and the very top legislative leaders		train
TsIKJ9_HM-00:00:30.000-00:00:33.000	TsIKJ9_HM	00:00:30.000	00:00:33.000	before the session begins.	before the session begins		test
TsIKJ9_HM-00:00:33.000-00:00:36.000	TsIKJ9_HM	00:00:33.000	00:00:36.000	The Commission worked tirelessly	the commission worked tirelessly		train
TsIKJ9_HM-00:00:36.000-00:00:40.000	TsIKJ9_HM	00:00:36.000	00:00:40.000	to get their attention and convince them	to get their attention and convince them		train
TsIKJ9_HM-00:00:40.000-00:00:44.000	TsIKJ9_HM	00:00:40.000	00:00:44.000	to take action on several issues	to take action on several issues		train
TsIKJ9_HM-00:00:44.000-00:00:47.000	TsIKJ9_HM	00:00:44.000	00:00:47.000	in our legislative agenda.	in our legislative agenda		valid
TsIKJ9_HM-00:00:47.000-00:00:51.000	TsIKJ9_HM	00:00:47.000	00:00:51.000	Overall, the Commission succeeded at	overall the commission succeeded at		train
TsIKJ9_HM-00:00:51.000-00:00:55.000	TsIKJ9_HM	00:00:51.000	00:00:55.000	getting many of our bills passed this year.	getting many of our bills passed this year		train
TsIKJ9_HM-00:00:55.000-00:01:02.000	TsIKJ9_HM	00:00:55.000	00:01:02.000	Thanks to all who advocated for the bills.	thanks to all who advocated for the bills		valid
TsIKJ9_HM-00:01:02.000-00:01:07.000	TsIKJ9_HM	00:01:02.000	00:01:07.000	The CommissionÕs legislative agenda comes	the commissionõs legislative agenda comes		test
TsIKJ9_HM-00:01:07.000-00:01:11.000	TsIKJ9_HM	00:01:07.000	00:01:11.000	from the community	from the community		train
TsIKJ9_HM-00:01:11.000-00:01:15.000	TsIKJ9_HM	00:01:11.000	00:01:15.000	and is set by commission members.	and is set by commission members		train
TsIKJ9_HM-00:01:15.000-00:01:18.000	TsIKJ9_HM	00:01:15.000	00:01:18.000	Your participation made a difference!	your participation made a difference		train
TsIKJ9_HM-00:01:18.000-00:01:23.000	TsIKJ9_HM	00:01:18.000	00:01:23.000	Thanks to the legislators who fought long and hard	thanks to the legislators who fought long and hard		train
TsIKJ9_HM-00:01:23.000-00:01:27.000	TsIKJ9_HM	00:01:23.000	00:01:27.000	on our behalf to help us get our bills passed.	on our behalf to help us get our bills passed		train
TsIKJ9_HM-00:01:27.000-00:01:30.000	TsIKJ9_HM	00:01:27.000	00:01:30.000	HereÕs what we accomplished together:	hereõs what we accomplished together		test
TsIKJ9_HM-00:01:35.000-00:01:38.000	TsIKJ9_HM	00:01:35.000	00:01:38.000	Communication Access Supports	communication access supports		train
TsIKJ9_HM-00:01:38.000-00:01:41.000	TsIKJ9_HM	00:01:38.000	00:01:41.000	for Workers and Youth:  PASSED	for workers and youth  passed		train
TsIKJ9_HM-00:01:41.000-00:01:46.000	TsIKJ9_HM	00:01:41.000	00:01:46.000	The Jobs Finance bill passed during the special session	the jobs finance bill passed during the special session		train
TsIKJ9_HM-00:01:46.000-00:01:52.000	TsIKJ9_HM	00:01:46.000	00:01:52.000	included $1 million per year for grants	included 1 million per year for grants		valid
TsIKJ9_HM-00:01:52.000-00:01:56.000	TsIKJ9_HM	00:01:52.000	00:01:56.000	to groups like VECTOR and MEC	to groups like vector and mec		train
TsIKJ9_HM-00:01:56.000-00:01:59.000	TsIKJ9_HM	00:01:56.000	00:01:59.000	to provide communication access supports	to provide communication access supports		train
TsIKJ9_HM-00:01:59.000-00:02:02.000	TsIKJ9_HM	00:01:59.000	00:02:02.000	for adults and youth who are	for adults and youth who are		train
TsIKJ9_HM-00:02:02.000-00:02:05.000	TsIKJ9_HM	00:02:02.000	00:02:05.000	deaf, deafblind and hard of hearing.	deaf deafblind and hard of hearing		train
TsIKJ9_HM-00:02:05.000-00:02:08.000	TsIKJ9_HM	00:02:05.000	00:02:08.000	Thanks to the bill authors,	thanks to the bill authors		valid
TsIKJ9_HM-00:02:08.000-00:02:11.000	TsIKJ9_HM	00:02:08.000	00:02:11.000	Representative Rod Hamilton	representative rod hamilton		valid
TsIKJ9_HM-00:02:11.000-00:02:14.000	TsIKJ9_HM	00:02:11.000	00:02:14.000	and Senator Matt Schmit,	and senator matt schmit		train
TsIKJ9_HM-00:02:14.000-00:02:17.000	TsIKJ9_HM	00:02:14.000	00:02:17.000	and to Conference Committee Chairs,	and to conference committee chairs		test
TsIKJ9_HM-00:02:17.000-00:02:20.000	TsIKJ9_HM	00:02:17.000	00:02:20.000	Representative Pat Garofalo	representative pat garofalo		train
TsIKJ9_HM-00:02:20.000-00:02:25.000	TsIKJ9_HM	00:02:20.000	00:02:25.000	and Senator Dave Tomassoni.	and senator dave tomassoni		test
TsIKJ9_HM-00:02:30.000-00:02:32.000	TsIKJ9_HM	00:02:30.000	00:02:32.000	WhatÕs next?	whatõs next		train
TsIKJ9_HM-00:02:32.000-00:02:36.000	TsIKJ9_HM	00:02:32.000	00:02:36.000	The Department of Employment and Economic Development	the department of employment and economic development		train
TsIKJ9_HM-00:02:36.000-00:02:40.000	TsIKJ9_HM	00:02:36.000	00:02:40.000	will send out a request for proposals	will send out a request for proposals		valid
TsIKJ9_HM-00:02:40.000-00:02:43.000	TsIKJ9_HM	00:02:40.000	00:02:43.000	that groups like VECTOR and MEC	that groups like vector and mec		train
TsIKJ9_HM-00:02:43.000-00:02:48.000	TsIKJ9_HM	00:02:43.000	00:02:48.000	can respond to in order to receive funding.	can respond to in order to receive funding		train
TsIKJ9_HM-00:02:53.000-00:02:58.000	TsIKJ9_HM	00:02:53.000	00:02:58.000	Technology Funding for State Academies:  PASSED	technology funding for state academies  passed		train
TsIKJ9_HM-00:02:58.000-00:03:01.000	TsIKJ9_HM	00:02:58.000	00:03:01.000	The Education Finance Bill passed	the education finance bill passed		train
TsIKJ9_HM-00:03:01.000-00:03:04.000	TsIKJ9_HM	00:03:01.000	00:03:04.000	during the special session	during the special session		train
TsIKJ9_HM-00:03:04.000-00:03:07.000	TsIKJ9_HM	00:03:04.000	00:03:07.000	included funding for technology	included funding for technology		train
TsIKJ9_HM-00:03:07.000-00:03:11.000	TsIKJ9_HM	00:03:07.000	00:03:11.000	at the State Academies.	at the state academies		test
TsIKJ9_HM-00:03:11.000-00:03:15.000	TsIKJ9_HM	00:03:11.000	00:03:15.000	Thanks to the bill authors,	thanks to the bill authors		test
TsIKJ9_HM-00:03:15.000-00:03:19.000	TsIKJ9_HM	00:03:15.000	00:03:19.000	Representative Brian Daniels	representative brian daniels		train
TsIKJ9_HM-00:03:19.000-00:03:23.000	TsIKJ9_HM	00:03:19.000	00:03:23.000	and Senator Vicki Jensen,	and senator vicki jensen		train
TsIKJ9_HM-00:03:23.000-00:03:26.000	TsIKJ9_HM	00:03:23.000	00:03:26.000	and to Conference Committee Chairs,	and to conference committee chairs		train
TsIKJ9_HM-00:03:26.000-00:03:29.000	TsIKJ9_HM	00:03:26.000	00:03:29.000	Representative Jennifer Loon	representative jennifer loon		train
TsIKJ9_HM-00:03:29.000-00:03:32.500	TsIKJ9_HM	00:03:29.000	00:03:32.500	and Senator Chuck Wiger.	and senator chuck wiger		train
TsIKJ9_HM-00:03:37.000-00:03:43.000	TsIKJ9_HM	00:03:37.000	00:03:43.000	Pre-K at the Metro Deaf School:	prek at the metro deaf school		valid
