vid	yid	start	end	raw-text	tokenized-text	gloss	split
aTCMM7U4dNM-00:00:04.520-00:00:12.620	aTCMM7U4dNM	00:00:04.520	00:00:12.620	The legislative special session is finally over and the Governor has taken action on the bills,	the legislative special session is finally over and the governor has taken action on the bills		test
aTCMM7U4dNM-00:00:13.000-00:00:19.000	aTCMM7U4dNM	00:00:13.000	00:00:19.000	so we can now tell you what was accomplished at the Legislature this year.	so we can now tell you what was accomplished at the legislature this year		test
aTCMM7U4dNM-00:00:21.500-00:00:26.000	aTCMM7U4dNM	00:00:21.500	00:00:26.000	The Commission succeeded in getting many of our bills passed.	the commission succeeded in getting many of our bills passed		test
aTCMM7U4dNM-00:00:26.000-00:00:32.000	aTCMM7U4dNM	00:00:26.000	00:00:32.000	Thanks to all who advocated for the bills.	thanks to all who advocated for the bills		test
aTCMM7U4dNM-00:00:34.000-00:00:43.760	aTCMM7U4dNM	00:00:34.000	00:00:43.760	The Commission’s legislative agenda comes from the community and is set by commission members.	the commissions legislative agenda comes from the community and is set by commission members		test
aTCMM7U4dNM-00:00:43.760-00:00:47.000	aTCMM7U4dNM	00:00:43.760	00:00:47.000	Your participation made a difference!	your participation made a difference		test
aTCMM7U4dNM-00:00:48.000-00:00:55.260	aTCMM7U4dNM	00:00:48.000	00:00:55.260	Thanks to the legislators and citizen advocates who fought long and hard	thanks to the legislators and citizen advocates who fought long and hard		test
aTCMM7U4dNM-00:00:55.260-00:00:58.000	aTCMM7U4dNM	00:00:55.260	00:00:58.000	on our behalf to help us get our bills passed.	on our behalf to help us get our bills passed		test
aTCMM7U4dNM-00:01:00.000-00:01:03.440	aTCMM7U4dNM	00:01:00.000	00:01:03.440	Here’s what we accomplished together:	heres what we accomplished together		test
aTCMM7U4dNM-00:01:09.000-00:01:13.560	aTCMM7U4dNM	00:01:09.000	00:01:13.560	Education: Increased funding for Deaf Mentor Family Program: Passed	education increased funding for deaf mentor family program passed		test
aTCMM7U4dNM-00:01:15.000-00:01:21.000	aTCMM7U4dNM	00:01:15.000	00:01:21.000	The Deaf Mentor Family Program will receive an increase in grant funding	the deaf mentor family program will receive an increase in grant funding		test
aTCMM7U4dNM-00:01:21.000-00:01:25.000	aTCMM7U4dNM	00:01:21.000	00:01:25.000	from the Deaf and Hard of Hearing Services Division (DHHSD).	from the deaf and hard of hearing services division dhhsd		test
aTCMM7U4dNM-00:01:25.000-00:01:29.440	aTCMM7U4dNM	00:01:25.000	00:01:29.440	DHHSD will decide how large the increase is.	dhhsd will decide how large the increase is		test
aTCMM7U4dNM-00:01:35.500-00:01:44.000	aTCMM7U4dNM	00:01:35.500	00:01:44.000	Age-Related Hearing Loss: Require good acoustics and hearing loops in state-funded construction: Passed	agerelated hearing loss require good acoustics and hearing loops in statefunded construction passed		test
aTCMM7U4dNM-00:01:45.000-00:01:52.000	aTCMM7U4dNM	00:01:45.000	00:01:52.000	From now on, whenever the state helps pay for construction or remodeling of a public gathering space	from now on whenever the state helps pay for construction or remodeling of a public gathering space		test
aTCMM7U4dNM-00:01:52.000-00:02:00.000	aTCMM7U4dNM	00:01:52.000	00:02:00.000	in which it’s important to be able to hear, contractors will be required	in which its important to be able to hear contractors will be required		test
aTCMM7U4dNM-00:02:00.000-00:02:09.340	aTCMM7U4dNM	00:02:00.000	00:02:09.340	to consider including good acoustics and hearing loops.	to consider including good acoustics and hearing loops		test
aTCMM7U4dNM-00:02:11.000-00:02:19.320	aTCMM7U4dNM	00:02:11.000	00:02:19.320	This new law is the first in the nation and sets a new national standard for accessibility.	this new law is the first in the nation and sets a new national standard for accessibility		test
aTCMM7U4dNM-00:02:24.600-00:02:32.840	aTCMM7U4dNM	00:02:24.600	00:02:32.840	Age-Related Hearing Loss: Training for staff at assisted living facilities: Passed	agerelated hearing loss training for staff at assisted living facilities passed		test
aTCMM7U4dNM-00:02:34.000-00:02:42.000	aTCMM7U4dNM	00:02:34.000	00:02:42.000	This new law clarifies that many staff who work with senior citizens can take training	this new law clarifies that many staff who work with senior citizens can take training		test
aTCMM7U4dNM-00:02:42.000-00:02:49.920	aTCMM7U4dNM	00:02:42.000	00:02:49.920	about age-related hearing loss and have it count towards their training requirements.	about agerelated hearing loss and have it count towards their training requirements		test
aTCMM7U4dNM-00:02:50.500-00:02:56.460	aTCMM7U4dNM	00:02:50.500	00:02:56.460	The Commission will bring together a group of stakeholders to develop the training.	the commission will bring together a group of stakeholders to develop the training		test
aTCMM7U4dNM-00:02:57.720-00:03:03.020	aTCMM7U4dNM	00:02:57.720	00:03:03.020	The group will include Deaf and Hard of Hearing Services Division,	the group will include deaf and hard of hearing services division		test
aTCMM7U4dNM-00:03:03.020-00:03:07.420	aTCMM7U4dNM	00:03:03.020	00:03:07.420	audiologists, and the University of Minnesota.	audiologists and the university of minnesota		test
aTCMM7U4dNM-00:03:08.720-00:03:17.000	aTCMM7U4dNM	00:03:08.720	00:03:17.000	The student group at the College of Audiology at the U has agreed to develop	the student group at the college of audiology at the u has agreed to develop		test
aTCMM7U4dNM-00:03:17.000-00:03:25.000	aTCMM7U4dNM	00:03:17.000	00:03:25.000	an online version of the training and the U has agreed to host the online training.	an online version of the training and the u has agreed to host the online training		test
